Time,Latitude,Longitude,Place,Magnitude
2023-11-15T01:27:27.228Z,34.8135,138.8179,Japan,4.4
2023-11-14T11:42:26.933Z,43.1563,145.5747,Japan,4.3
2023-11-14T10:14:56.061Z,22.6907,123.4639,Japan,4.6
2023-11-14T07:25:00.237Z,37.0828,141.5951,Japan,4.4
2023-11-13T23:13:27.204Z,41.9769,142.3838,Japan,4.3
2023-11-13T04:29:43.312Z,40.9732,142.9535,Japan,4.2
2023-11-12T11:02:57.140Z,41.6996,144.0742,Japan,4.4
2023-11-11T17:24:08.474Z,33.6738,138.5527,Japan,4.4
2023-11-11T13:02:38.347Z,29.912,129.9902,Japan,4.5
2023-11-11T10:49:45.711Z,25.5329,125.7791,Japan,4.6
2023-11-10T20:50:30.208Z,31.2909,130.7679,Japan,5.3
2023-11-10T01:54:07.404Z,33.5525,133.705,Japan,4.0
2023-11-10T01:00:10.332Z,35.5275,139.4756,Japan,4.3
2023-11-09T09:45:03.883Z,39.1733,144.7163,Japan,4.6
2023-11-09T06:13:58.753Z,39.7647,143.6172,Japan,4.4
2023-11-08T22:53:54.055Z,26.8141,126.7256,Japan,4.4
2023-11-07T23:06:40.620Z,41.6048,145.0089,Japan,4.2
2023-11-07T12:52:34.675Z,33.8177,139.6292,Japan,4.4
2023-11-05T17:10:08.462Z,37.828,141.7219,Japan,4.7
2023-11-05T14:45:17.229Z,42.7464,142.5637,Japan,4.3
2023-11-05T05:16:42.745Z,39.8885,143.1551,Japan,4.6
2023-11-04T20:34:40.275Z,36.5639,142.4017,Japan,4.3
2023-11-04T13:16:20.263Z,43.1766,145.6916,Japan,4.5
2023-11-04T10:01:18.316Z,37.1988,142.2231,Japan,4.0
2023-11-03T20:05:54.667Z,41.1438,140.0351,Japan,4.0
2023-10-31T22:34:01.418Z,33.7873,135.0557,Japan,4.8
2023-10-31T18:08:22.060Z,36.1205,139.7988,Japan,4.3
2023-10-29T23:38:04.019Z,26.3614,126.9478,Japan,4.6
2023-10-29T22:55:11.090Z,29.2235,130.3559,Japan,4.5
2023-10-29T02:25:19.185Z,38.9522,142.5779,Japan,4.7
2023-10-29T02:13:49.536Z,38.9388,142.5014,Japan,4.7
2023-10-27T18:27:33.176Z,41.9415,142.6638,Japan,4.1
2023-10-27T16:28:21.809Z,36.4016,140.324,Japan,4.3
2023-10-27T14:07:52.439Z,28.8585,131.914,Japan,4.2
2023-10-27T13:31:02.345Z,40.2657,142.2562,Japan,4.2
2023-10-27T07:02:46.948Z,24.9504,128.0884,Japan,4.0
2023-10-26T03:25:27.574Z,24.0309,127.2679,Japan,4.2
2023-10-24T12:29:42.320Z,35.3518,138.981,Japan,4.4
2023-10-24T08:42:04.539Z,33.2933,137.5978,Japan,4.0
2023-10-24T02:54:26.521Z,24.0644,122.5951,Japan,4.6
2023-10-23T23:05:24.760Z,24.0413,122.6384,Japan,5.9
2023-10-23T20:05:46.637Z,43.1112,144.9238,Japan,3.9
2023-10-23T11:28:05.942Z,24.6484,125.4659,Japan,4.6
2023-10-22T23:11:14.366Z,35.7292,140.8265,Japan,4.2
2023-10-22T14:13:40.385Z,27.2271,128.2231,Japan,4.6
2023-10-22T12:48:21.663Z,40.5816,141.9565,Japan,4.4
2023-10-21T09:32:17.265Z,42.1138,142.124,Japan,4.4
2023-10-21T03:39:22.325Z,45.6053,142.2864,Japan,4.1
2023-10-20T20:55:29.632Z,36.9476,141.1834,Japan,4.5
2023-10-20T16:55:29.950Z,32.5025,137.8506,Japan,4.3
2023-10-19T20:03:37.230Z,29.2329,130.5372,Japan,4.4
2023-10-19T03:51:56.417Z,25.9383,128.4834,Japan,5.0
2023-10-19T00:15:02.492Z,42.1776,140.2388,Japan,4.4
2023-10-18T16:27:36.399Z,42.8404,144.9303,Japan,4.4
2023-10-17T23:41:09.399Z,33.8075,141.6608,Japan,4.4
2023-10-16T20:50:01.616Z,25.1881,125.5097,Japan,4.6
2023-10-16T13:53:47.341Z,25.1572,125.5391,Japan,4.6
2023-10-16T13:30:48.196Z,25.1128,125.5035,Japan,4.9
2023-10-16T10:42:10.570Z,25.1582,125.5573,Japan,5.7
2023-10-15T09:13:25.711Z,33.7721,141.7225,Japan,5.2
2023-10-14T11:14:06.477Z,27.7019,129.9589,Japan,4.3
2023-10-14T09:46:40.227Z,27.4812,127.6098,Japan,4.7
2023-10-14T07:22:59.624Z,34.3406,136.6522,Japan,4.0
2023-10-14T04:33:13.431Z,32.6594,140.8723,Japan,4.8
2023-10-14T02:29:24.172Z,41.5116,142.055,Japan,4.9
2023-10-13T22:45:53.459Z,42.6055,143.2183,Japan,4.2
2023-10-13T09:59:51.842Z,41.074,140.1515,Japan,5.1
2023-10-12T09:55:35.918Z,37.8615,141.9883,Japan,4.5
2023-10-12T06:47:08.224Z,37.6104,142.5605,Japan,4.3
2023-10-11T22:33:13.555Z,28.7792,128.6959,Japan,4.6
